,price_clp,price_uf,price_usd,comuna,ubicacion,dorms,baths,built_area,total_area,parking
2416,140000000,3934,174346,LaFlorida,LosCanelos,4,2.0,275.0,275.0,1
2417,367466750,10325,457617,Ñuñoa,HernanCortés/Chile-España,5,3.0,240.0,180.0,1
2418,1210060000,34000,1506924,LasCondes,Elgolf,5,4.0,330.0,304.0,3
2419,890248260,25014,1108653,LoBarnechea,CaminoElCajón18000,3,4.0,375.0,1805.0,6
2420,90000000,2529,112080,Maipú,Lachacra,2,1.0,80.0,105.0,1
2421,1096172000,30800,1365096,LoBarnechea,Alcaldedelano,5,5.0,351.0,855.0,3
2422,142004100,3990,176842,Buin,Ruta5conPastorJoséMolina,3,3.0,72.0,147.0,2
2423,85000000,2388,105853,Maipú,PasajeSanRuben//SanManuel,4,2.0,43.0,50.0,0
2424,750000000,21073,933998,LaFlorida,Venezuela,4,4.0,190.0,1200.0,6
2425,288848440,8116,359712,SanBernardo,AvenidaAmérica/CostaneraManuelMagalanesMoure,3,3.0,156.0,463.0,0
2426,118000000,3316,146949,PuenteAlto,LasNievesconNonatocoo,2,1.0,100.0,189.0,3
2427,105000000,2950,130760,Quilicura,YC59707LosHimalayas/LosBalcanes,4,2.0,120.0,96.0,0
2428,218000000,6125,271482,LoPrado,Sanpablo,4,2.0,164.0,243.0,2
2429,658415000,18500,819944,LasCondes,Encondominio/avenidaplaza,5,4.0,179.0,356.0,0
2430,75000000,2107,93400,PuenteAlto,Casa2pisospareadaenPuenteAlto,3,1.0,77.0,125.0,0
2431,81500000,2290,101494,Cerrillos,Avsantacorina/loerrazuriz,3,1.0,84.0,103.0,0
2432,91000000,2557,113325,PuenteAlto,Lossalesianos/avmexico/metroprotectoradelainfancia,4,2.0,75.0,50.0,0
2433,73279810,2059,91258,Maipú,Caminoarinconada/pasajevadoazul,3,1.0,60.0,60.0,1
2434,80000000,2248,99626,Maipú,Maipú,5,2.0,116.0,116.0,0
2435,836365000,23500,1041550,LasCondes,Quinchamali-avenidalascondes,6,4.0,330.0,750.0,5
2436,189000000,5310,235367,PuenteAlto,46deSantaRosa,4,2.0,120.0,100.0,0
2437,505378000,14200,629362,LasCondes,Metrohernandodemagallanes/hernandodemagallanes/pueblitolosdominicios,3,3.0,135.0,190.0,2
2438,165000000,4636,205479,SanBernardo,Sanleondepte/caminoelcerrillo,6,2.0,165.0,200.0,0
2439,373339100,10490,464930,Colina,SantaElena,4,4.0,140.0,393.0,3
2440,327428000,9200,407756,Peñalolén,AvenidaConsistorial,4,3.0,120.0,239.0,2
2441,62000000,1742,77210,PuenteAlto,LosQueltehues/EstaciónValdivia,2,1.0,48.0,97.0,0
2442,80000000,2248,99626,Quilicura,Krobokanag/LosCarpatos,2,1.0,63.0,98.0,0
2443,125000000,3512,155666,Maipú,Lapiramide/progreso,5,2.0,99.0,127.0,0
2444,145000000,4074,180573,SanBernardo,PradosdeNos,3,2.0,70.0,161.0,2
2445,90000000,2529,112080,Santiago,AmpliaCasa1pisoenSantiagoCentro,4,2.0,111.0,90.0,0
2446,107500000,3021,133873,Paine,Excelenteoportunidad,3,2.0,67.0,145.0,0
2447,202863000,5700,252631,Maipú,Av.Sur,4,2.0,134.0,255.0,0
2448,382592500,10750,476454,Maipú,AvMaipú50,4,2.0,244.0,464.0,4
2449,658415000,18500,819944,LaCisterna,Metroloovalle,7,3.0,300.0,1050.0,8
2450,605030000,17000,753462,LasCondes,PresidenteErrazuriz-Málaga,4,2.0,140.0,200.0,1
2451,93900000,2638,116936,Renca,Domingosantamaria-plazaderenca,4,1.0,129.0,175.0,3
2452,125490340,3526,156277,LaFlorida,LíaAguirre,3,2.0,78.0,110.0,2
2453,213184100,5990,265485,LaCisterna,Vespuciosur,3,4.0,175.0,294.0,0
2454,889750000,25000,1108032,LasCondes,PaulHarris/ElAlamein,3,2.0,150.0,930.0,0
2455,348782000,9800,434349,Peñalolén,Altosdelaarboleda/lospeumossur,4,3.0,172.0,272.0,2
2456,653432400,18360,813739,Ñuñoa,Exequielfernandez,3,2.0,288.0,636.0,2
2457,14500000,407,18057,SanBernardo,Eyzaguirre,2,1.0,20.0,20.0,0
2458,105000000,2950,130760,SanBernardo,juanfranciscolarrain,3,2.0,142.0,170.0,0
2459,640620000,18000,797783,Providencia,Bilbao/Amapolas,6,2.0,308.0,316.0,3
2460,55000000,1545,68493,PuenteAlto,villalosapostoles,2,1.0,60.0,85.0,0
2461,694005000,19500,864265,LoBarnechea,ElHuinganal,3,3.0,170.0,703.0,0
2462,135000000,3793,168120,Peñalolén,PC51473Av.CoronelAlejandroSepúlveda/Chimiles,4,3.0,114.0,162.0,1
2463,110000000,3091,136986,LaFlorida,MarcelaPaz-JardinAltoYC56746/GeronimodeAlderete,5,2.0,75.0,92.0,0
2464,608589000,17100,757894,Maipú,CalleManuelRodriguez,3,2.0,171.0,800.0,5
2465,100000000,2810,124533,Talagante,3oriente,4,2.0,130.0,130.0,1
2466,618910100,17390,770747,LasCondes,ElConventoconCaminoSanFranciscodeAsis,6,5.0,180.0,300.0,2
2467,603629179,16961,751718,Santiago,Huerfanos2700-3000,15,4.0,249.0,410.0,0
2468,400387500,11250,498615,Ñuñoa,MarchanPereiraDiagonalOriente,4,4.0,350.0,375.0,4
2469,390000000,10958,485679,Ñuñoa,LaVerbena,3,2.0,132.0,216.0,1
2470,117447000,3300,146260,Quilicura,VentaCasa3DormitoriosQuilicura,3,3.0,90.0,120.0,0
2471,149478000,4200,186149,PuenteAlto,Eyzaguirre-NonatoCoo,4,2.0,118.0,318.0,0
2472,148766200,4180,185263,LaFlorida,AvenidaMexico,3,2.0,98.0,150.0,2
2473,142360000,4000,177285,Quilicura,Pasajebarriofuencarral,4,2.0,129.0,123.0,2
2474,514275500,14450,640443,CaleradeTango,CondominioLaFuenteLonquen,5,3.0,200.0,5000.0,3
2475,503954400,14160,627590,Santiago,Cuevas/RogelioUgarte,1,1.0,708.0,708.0,0
